name	nr	pop	pop2	popcol	filter	prop_miss	n_retained_sites	hetero_retained_sites	hetero_segregating_sites
14CCUT2_5496	49	CC2	CC2	darkgreen	TRUE	0.0309946463792618	2833	0.0797740910695376	0.235908141962422
14CCUT2_5497	50	CC2	CC2	darkgreen	TRUE	0.0118343195266272	2884	0.0814840499306519	0.237854251012146
14CCUT2_5498	51	CC2	CC2	darkgreen	TRUE	0.0205691744153283	2866	0.0774598743893929	0.229102167182663
14CCUT2_5499	52	CC2	CC2	darkgreen	TRUE	0.0301493378416455	2844	0.0759493670886076	0.22360248447205
14CCUT2_5500	53	CC2	CC2	darkgreen	TRUE	0.00760777683854607	2897	0.0862961684501208	0.252525252525253
14CCUT2_5502	54	CC2	CC2	darkgreen	TRUE	0.0112707805015497	2883	0.083593479014915	0.245167853509664
14CCUT2_5503	55	CC2	CC2	darkgreen	TRUE	0.00958016342631727	2890	0.0802768166089965	0.235294117647059
14CCUT2_5504	56	CC2	CC2	darkgreen	TRUE	0.0419836573682728	2803	0.0852657866571531	0.250261780104712
14CCUT2_5505	57	CC2	CC2	darkgreen	TRUE	0.00901662440123979	2896	0.0887430939226519	0.259858442871587
14CCUT2_5506	58	CC2	CC2	darkgreen	TRUE	0.0259227951535644	2848	0.0804073033707865	0.235839340885685
14CCUT2_5508	59	CC2	CC2	darkgreen	TRUE	0.021978021978022	2868	0.0917015341701534	0.268916155419223
14CCUT2_5509	60	CC2	CC2	darkgreen	TRUE	0.0160608622147084	2875	0.0758260869565217	0.223589743589744
14CCUT2_5510	61	CC2	CC2	darkgreen	TRUE	0.0123978585517047	2889	0.0758047767393562	0.22210953346856
14CCUT2_5512	62	CC2	CC2	darkgreen	TRUE	0.00591715976331361	2905	0.0943201376936317	0.275100401606426
14CCUT2_5514	63	CC2	CC2	darkgreen	TRUE	0.00986193293885602	2897	0.0745598895409044	0.218181818181818
14CCUT2_5515	64	CC2	CC2	darkgreen	TRUE	0.163989856297549	2449	0.0722743977133524	0.217177914110429
14CCUT2_5516	65	CC2	CC2	darkgreen	FALSE	0.280642434488588	2093	0.0645007166746297	0.193877551020408
14CCUT2_5519	66	CC2	CC2	darkgreen	TRUE	0.0436742744435052	2795	0.0644007155635063	0.192513368983957
14CCUT2_5520	67	CC2	CC2	darkgreen	TRUE	0.0411383488306565	2808	0.0751424501424501	0.222105263157895
14CCUT2_5521	68	CC2	CC2	darkgreen	TRUE	0.00788954635108481	2898	0.082815734989648	0.242669362992922
14CCUT2_5522	69	CC2	CC2	darkgreen	TRUE	0.012116089039166	2889	0.0719972308757355	0.211382113821138
14CCUT2_5523	70	CC2	CC2	darkgreen	TRUE	0.05156382079459	2770	0.0765342960288809	0.228202368137783
14CCUT2_5524	71	CC2	CC2	darkgreen	TRUE	0.198083967314737	2312	0.108996539792388	0.309963099630996
14CCUT2_5525	72	CC2	CC2	darkgreen	TRUE	0.0662158354466047	2745	0.0819672131147541	0.24617067833698
14CCUT2_5526	73	CC2	CC2	darkgreen	TRUE	0.0335305719921105	2832	0.0755649717514124	0.223382045929019
14CCUT2_5529	74	CC2	CC2	darkgreen	TRUE	0.0129613975767822	2883	0.0898369753728755	0.263479145473042
14CCUT2_5530	75	CC2	CC2	darkgreen	TRUE	0.031839954916878	2843	0.0794934927893071	0.23419689119171
14CCUT2_5531	76	CC2	CC2	darkgreen	TRUE	0.0293040293040293	2836	0.0909732016925247	0.266804550155119
14CCUT2_5532	77	CC2	CC2	darkgreen	TRUE	0.021978021978022	2866	0.0795533845080251	0.235780765253361
14CCUT2_5533	78	CC2	CC2	darkgreen	TRUE	0.00929839391377853	2893	0.0850328378845489	0.248484848484848
14CCUT2_5534	79	CC2	CC2	darkgreen	TRUE	0.0352211890673429	2828	0.0834512022630834	0.244813278008299
14CCUT2_5535	80	CC2	CC2	darkgreen	TRUE	0.00817131586362356	2894	0.0839668279198341	0.246450304259635
14CCUT2_5536	81	CC2	CC2	darkgreen	TRUE	0.00901662440123979	2894	0.0739460953697305	0.216599190283401
14CCUT2_5537	82	CC2	CC2	darkgreen	TRUE	0.0112707805015497	2892	0.0874827109266943	0.256332320162107
14CCUT2_5538	83	CC2	CC2	darkgreen	TRUE	0.0264863341786419	2849	0.0775710775710776	0.230688935281837
14CCUT2_5539	84	CC2	CC2	darkgreen	TRUE	0.00479008171315864	2905	0.0698795180722892	0.203815261044177
14CCUT2_5540	85	CC2	CC2	darkgreen	TRUE	0.0267681036911806	2851	0.090143809189758	0.266874350986501
14CCUT2_5541	86	CC2	CC2	darkgreen	TRUE	0.0123978585517047	2890	0.0660899653979239	0.194105691056911
14CCUT2_5542	87	CC2	CC2	darkgreen	TRUE	0.012116089039166	2885	0.0974003466204506	0.28412537917088
14CCUT2_5543	88	CC2	CC2	darkgreen	TRUE	0.083403775711468	2680	0.0802238805970149	0.239955357142857
14CCUT2_5544	89	CC2	CC2	darkgreen	TRUE	0.0270498732037194	2856	0.0808823529411765	0.238390092879257
14CCUT2_5545	90	CC2	CC2	darkgreen	TRUE	0.0239504085657932	2848	0.081811797752809	0.24321503131524
14CCUT2_5546	91	CC2	CC2	darkgreen	TRUE	0.0656522964215272	2752	0.0704941860465116	0.211559432933479
14CCUT2_5548	92	CC2	CC2	darkgreen	TRUE	0.0166244012397859	2883	0.0849809226500173	0.247724974721941
14CCUT2_5549	93	CC2	CC2	darkgreen	TRUE	0.0245139475908707	2856	0.0920868347338936	0.271694214876033
14CCUT2_5550	94	CC2	CC2	darkgreen	TRUE	0.0135249366018597	2881	0.0798333911836168	0.234215885947047
14CCUT2_5551	95	CC2	CC2	darkgreen	TRUE	0.0256410256410256	2848	0.0768960674157303	0.225540679711637
14CCUT2_5552	96	CC2	CC2	darkgreen	TRUE	0.0414201183431953	2802	0.0603140613847252	0.180362860192102
14CCUT2_5553	97	CC2	CC2	darkgreen	TRUE	0.0284587207664131	2845	0.0847100175746924	0.249482401656315
14CCUT2_5554	98	CC2	CC2	darkgreen	TRUE	0.0126796280642434	2883	0.072840790842872	0.212765957446809
14CCUT2_5555	99	CC2	CC2	darkgreen	TRUE	0.062552831783601	2745	0.0739526411657559	0.220412595005429
14CCUT3_5559	100	CC3	CC3	darkred	TRUE	0.0383206537052691	2806	0.127227369921597	0.333644859813084
14CCUT3_5564	101	CC3	CC3	darkred	TRUE	0.0309946463792618	2829	0.110639802050194	0.287948482060718
14CCUT3_5566	102	CC3	CC3	darkred	TRUE	0.0442378134685827	2788	0.118723098995696	0.312559017941454
14CCUT3_5567	103	CC3	CC3	darkred	TRUE	0.010989010989011	2891	0.123486682808717	0.321621621621622
14CCUT3_5568	104	CC3	CC3	darkred	TRUE	0.012116089039166	2886	0.115384615384615	0.300541516245487
14CCUT3_5570	105	CC3	CC3	darkred	TRUE	0.0152155536770921	2878	0.117790132036136	0.305956678700361
14CCUT3_5571	106	CC3	CC3	darkred	TRUE	0.032967032967033	2834	0.118207480592802	0.308471454880295
14CCUT3_5572	107	CC3	CC3	darkred	TRUE	0.0355029585798817	2809	0.112851548593806	0.295985060690943
14CCUT3_5577	108	CC3	CC3	darkred	TRUE	0.0394477317554241	2804	0.103423680456491	0.269016697588126
14CCUT3_5580	109	CC3	CC3	darkred	TRUE	0.0287404902789518	2836	0.119181946403385	0.311233885819521
14CCUT3_5582	110	CC3	CC3	darkred	TRUE	0.0732600732600733	2711	0.127628181482848	0.336248785228377
14CCUT3_5585	111	CC3	CC3	darkred	TRUE	0.0419836573682728	2803	0.127006778451659	0.332399626517274
14CCUT3_5587	112	CC3	CC3	darkred	TRUE	0.240067624683009	2190	0.115068493150685	0.300357568533969
14CCUT3_5589	113	CC3	CC3	darkred	TRUE	0.184277261200338	2363	0.105797714769361	0.282167042889391
14CCUT3_5590	114	CC3	CC3	darkred	TRUE	0.0656522964215272	2722	0.110213078618663	0.288461538461538
14CCUT3_5591	115	CC3	CC3	darkred	TRUE	0.0202874049027895	2856	0.110294117647059	0.287408759124088
14CCUT3_5593	116	CC3	CC3	darkred	TRUE	0.043956043956044	2807	0.115425721410759	0.303655107778819
14CCUT3_5595	117	CC3	CC3	darkred	TRUE	0	2915	0.111492281303602	0.28735632183908
14CCUT3_5601	118	CC3	CC3	darkred	TRUE	0	2915	0.129331046312178	0.333333333333333
14CCUT3_5603	119	CC3	CC3	darkred	TRUE	0	2915	0.121097770154374	0.31211317418214
14CCUT3_5607	120	CC3	CC3	darkred	TRUE	0	2915	0.121097770154374	0.31211317418214
14HEUT1_3752	121	HE1	HE1	orange	TRUE	0.00732600732600733	2898	0.314354727398206	0.338535860274991
14HEUT1_3753	122	HE1	HE1	orange	TRUE	0.0177514792899408	2867	0.316009766306243	0.340857787810384
14HEUT1_3754	123	HE1	HE1	orange	TRUE	0.0884756269371654	2665	0.235647279549719	0.254973609419407
14HEUT1_3755	124	HE1	HE1	orange	TRUE	0.0552268244575937	2774	0.314708002883922	0.339953271028037
14HEUT1_3756	125	HE1	HE1	orange	TRUE	0.00732600732600733	2899	0.316315971024491	0.34089219330855
14HEUT1_3760	126	HE1	HE1	orange	TRUE	0.0152155536770921	2888	0.314750692520776	0.3390525923163
14HEUT1_3761	127	HE1	HE1	orange	TRUE	0.0118343195266272	2883	0.316684009712105	0.34105341800523
14HEUT1_3763	128	HE1	HE1	orange	TRUE	0.0726965342349958	2714	0.275976418570376	0.298406374501992
14HEUT1_3764	129	HE1	HE1	orange	TRUE	0.0901662440123979	2646	0.251700680272109	0.272839000409668
14HEUT1_3765	130	HE1	HE1	orange	TRUE	0.042828965905889	2794	0.305654974946314	0.330239752513534
14HEUT1_3769	131	HE1	HE1	orange	TRUE	0.0211327134404057	2861	0.315973435861587	0.34074632491519
14HEUT1_3772	132	HE1	HE1	orange	TRUE	0.146238377007608	2479	0.263816054860831	0.285464862505456
14HEUT1_3773	133	HE1	HE1	orange	TRUE	0.0335305719921105	2830	0.310600706713781	0.33511246664125
14HEUT1_3774	134	HE1	HE1	orange	TRUE	0.0064806987883911	2902	0.327705031013094	0.353137764574824
14HEUT1_3775	135	HE1	HE1	orange	TRUE	0.0721329952099183	2704	0.291420118343195	0.314570858283433
14HEUT1_3776	136	HE1	HE1	orange	TRUE	0.112426035502959	2579	0.246607212097712	0.267226890756303
14HEUT1_3777	137	HE1	HE1	orange	TRUE	0.0732600732600733	2698	0.280207561156412	0.30349257326375
14HEUT1_3778	138	HE1	HE1	orange	TRUE	0.0174697097774021	2871	0.322884012539185	0.347711927981996
14HEUT1_3779	139	HE1	HE1	orange	TRUE	0.0859397013243167	2677	0.280911468061263	0.303715670436187
14HEUT1_3780	140	HE1	HE1	orange	TRUE	0.0284587207664131	2840	0.300352112676056	0.323596358118361
14HEUT1_3785	141	HE1	HE1	orange	TRUE	0.0479008171315864	2772	0.29978354978355	0.323598130841121
14HEUT1_3788	142	HE1	HE1	orange	TRUE	0.0200056353902508	2856	0.320378151260504	0.345283018867925
14HEUT1_3791	143	HE1	HE1	orange	TRUE	0.195548041701888	2378	0.248948696383516	0.269826800364631
14HEUT1_3792	144	HE1	HE1	orange	TRUE	0.00619892927585235	2900	0.264827586206897	0.285395763656633
14HEUT1_3793	145	HE1	HE1	orange	TRUE	0.0152155536770921	2876	0.328233657858136	0.353690520794305
14HEUT1_3795	146	HE1	HE1	orange	TRUE	0.0169061707523246	2872	0.296309192200557	0.319444444444444
14HEUT1_3796	147	HE1	HE1	orange	TRUE	0.00929839391377853	2896	0.239295580110497	0.2578125
14HEUT1_3801	148	HE1	HE1	orange	TRUE	0.0149337841645534	2878	0.304378040305768	0.328212813787936
14HEUT1_3804	149	HE1	HE1	orange	TRUE	0.0101437024513948	2891	0.2383258388101	0.25689783743475
14HEUT1_3809	150	HE1	HE1	orange	TRUE	0.00929839391377853	2888	0.311634349030471	0.335695635956733
14HEUT1_3810	151	HE1	HE1	orange	TRUE	0.0236686390532544	2848	0.308988764044944	0.333333333333333
14HEUT1_3811	152	HE1	HE1	orange	TRUE	0.0135249366018597	2878	0.337734537873523	0.364044943820225
14HEUT1_3816	153	HE1	HE1	orange	TRUE	0.0242321780783319	2852	0.319775596072931	0.345062429057889
14HEUT1_3817	154	HE1	HE1	orange	TRUE	0.0163426317272471	2879	0.300451545675582	0.32372754491018
14HEUT1_3820	155	HE1	HE1	orange	TRUE	0.0191603268526345	2865	0.292146596858639	0.314661654135338
14HEUT1_3821	156	HE1	HE1	orange	TRUE	0.0741053817976895	2701	0.296556830803406	0.320528211284514
14HEUT1_3824	157	HE1	HE1	orange	TRUE	0.0448013524936602	2794	0.316392269148175	0.34184068058778
14HEUT1_3826	158	HE1	HE1	orange	TRUE	0.0425471963933502	2790	0.309318996415771	0.33423702556158
14HEUT1_3830	159	HE1	HE1	orange	TRUE	0.0284587207664131	2843	0.320084417868449	0.345089116420174
14HEUT1_3839	160	HE1	HE1	orange	TRUE	0.00986193293885602	2892	0.3067081604426	0.330353817504655
14HEUT1_4822	161	HE1	HE1	orange	TRUE	0.0129613975767822	2887	0.313474194665743	0.337938760268857
14HEUT1_4823	162	HE1	HE1	orange	TRUE	0.0101437024513948	2889	0.241259951540325	0.260074626865672
14HEUT1_4824	163	HE1	HE1	orange	TRUE	0.0374753451676529	2822	0.322466335931963	0.347593582887701
14HEUT1_4825	164	HE1	HE1	orange	TRUE	0.0479008171315864	2793	0.289294665234515	0.312330885195207
14HEUT2_4556	165	HE2	HE2	darkorchid4	TRUE	0.0377571146801916	2818	0.210787792760823	0.318157471880021
14HEUT2_4557	166	HE2	HE2	darkorchid4	TRUE	0.00591715976331361	2902	0.239145416953825	0.357916451779268
14HEUT2_4638	167	HE2	HE2	darkorchid4	TRUE	0.0540997464074387	2777	0.216060496939143	0.326975476839237
14HEUT2_4642	168	HE2	HE2	darkorchid4	TRUE	0.0154973231896309	2880	0.228472222222222	0.343244653103808
14HEUT2_4643	169	HE2	HE2	darkorchid4	TRUE	0.0107072414764722	2895	0.235924006908463	0.353154084798345
14HEUT2_4644	170	HE2	HE2	darkorchid4	TRUE	0.00535362073823612	2905	0.225817555938038	0.33762223365929
14HEUT2_4646	171	HE2	HE2	darkorchid4	TRUE	0.0188785573400958	2876	0.126564673157163	0.189880020865936
14HEUT2_4649	172	HE2	HE2	darkorchid4	TRUE	0.0174697097774021	2872	0.157729805013928	0.236924686192469
14HEUT2_4652	173	HE2	HE2	darkorchid4	TRUE	0.0171879402648633	2874	0.224773834377175	0.33698487219614
14HEUT2_4655	174	HE2	HE2	darkorchid4	TRUE	0.030712876866723	2832	0.184322033898305	0.2784
14HEUT2_4663	175	HE2	HE2	darkorchid4	TRUE	0.0160608622147084	2872	0.267409470752089	0.401883830455259
14HEUT2_4668	176	HE2	HE2	darkorchid4	TRUE	0.217244294167371	2261	0.177797434763379	0.278972935461485
14HEUT2_4670	177	HE2	HE2	darkorchid4	TRUE	0.0679064525218371	2720	0.259191176470588	0.395622895622896
14HEUT2_4673	178	HE2	HE2	darkorchid4	TRUE	0.0315581854043393	2822	0.172927002126152	0.260683760683761
14HEUT2_4677	179	HE2	HE2	darkorchid4	TRUE	0.0712876866723021	2709	0.179032853451458	0.272778402699663
14HEUT2_4678	180	HE2	HE2	darkorchid4	TRUE	0.00986193293885602	2893	0.152436916695472	0.228497409326425
14HEUT2_4681	181	HE2	HE2	darkorchid4	TRUE	0.0290222597914906	2834	0.191601976005646	0.288522848034006
14HEUT2_4687	182	HE2	HE2	darkorchid4	TRUE	0.00394477317554241	2908	0.202544704264099	0.30298353909465
14HEUT2_4692	183	HE2	HE2	darkorchid4	TRUE	0.0191603268526345	2865	0.287958115183246	0.433298319327731
14HEUT2_4694	184	HE2	HE2	darkorchid4	TRUE	0.0352211890673429	2831	0.210879547862946	0.319251336898396
14HEUT2_4708	185	HE2	HE2	darkorchid4	TRUE	0.0619892927585235	2732	0.158491947291362	0.241494701617401
14HEUT2_4709	186	HE2	HE2	darkorchid4	TRUE	0.0126796280642434	2878	0.276233495482974	0.415143603133159
14HEUT2_4710	187	HE2	HE2	darkorchid4	TRUE	0.0140884756269372	2877	0.167535627389642	0.251041666666667
14HEUT2_4716	188	HE2	HE2	darkorchid4	TRUE	0.032967032967033	2823	0.304640453418349	0.459647247461251
14HEUT3_4767	189	HE3	HE3	indianred1	TRUE	0.0369118061425754	2818	0.264371894960965	0.33710407239819
14HEUT3_4770	190	HE3	HE3	indianred1	TRUE	0.125950972104818	2559	0.264556467370066	0.337319382162432
14HEUT3_4771	191	HE3	HE3	indianred1	TRUE	0.0321217244294167	2820	0.224113475177305	0.285327313769752
14HEUT3_4772	192	HE3	HE3	indianred1	TRUE	0.0518455903071288	2765	0.273056057866184	0.348729792147806
14HEUT3_4774	193	HE3	HE3	indianred1	TRUE	0.0349394195548042	2816	0.295099431818182	0.376018099547511
14HEUT3_4779	194	HE3	HE3	indianred1	FALSE	0.300929839391378	2018	0.222993062438057	0.287548138639281
14HEUT3_4782	195	HE3	HE3	indianred1	FALSE	0.278670047900817	2057	0.190568789499271	0.243362831858407
14HEUT3_4795	196	HE3	HE3	indianred1	TRUE	0.0557903634826712	2760	0.215942028985507	0.274907749077491
14HEUT3_4796	197	HE3	HE3	indianred1	TRUE	0.0256410256410256	2843	0.282096377066479	0.358997314234557
14HEUT3_4797	198	HE3	HE3	indianred1	TRUE	0.0870667793744717	2655	0.274952919020716	0.351130351130351
14HEUT3_4798	199	HE3	HE3	indianred1	TRUE	0.032967032967033	2830	0.302473498233216	0.384546271338724
14HEUT3_4800	200	HE3	HE3	indianred1	TRUE	0.0326852634544942	2834	0.292166549047283	0.371300448430493
14HEUT3_4801	201	HE3	HE3	indianred1	TRUE	0.0276134122287968	2848	0.29002808988764	0.368914694059848
14HEUT3_4802	202	HE3	HE3	indianred1	TRUE	0.167089320935475	2408	0.257475083056478	0.3338718362951
14HEUT3_4803	203	HE3	HE3	indianred1	TRUE	0.0115525500140885	2881	0.28323498785144	0.359629792860291
14HEUT4_4826	204	HE4	HE4	deepskyblue	TRUE	0.1389123696816	2496	0.211939102564103	0.255555555555556
14HEUT4_4827	205	HE4	HE4	deepskyblue	TRUE	0.0673429134967597	2746	0.167152221412964	0.199825859817153
14HEUT4_4829	206	HE4	HE4	deepskyblue	TRUE	0.073541842772612	2714	0.243551952837141	0.290805103387593
14HEUT4_4830	207	HE4	HE4	deepskyblue	TRUE	0.193293885601578	2319	0.211729193617939	0.257337526205451
14HEUT4_4831	208	HE4	HE4	deepskyblue	TRUE	0.00788954635108481	2892	0.211964038727524	0.252679307502061
14HEUT4_4832	209	HE4	HE4	deepskyblue	TRUE	0.0253592561284869	2842	0.247361013370866	0.295750946571308
14HEUT4_4833	210	HE4	HE4	deepskyblue	TRUE	0.0239504085657932	2847	0.210045662100457	0.251049538203191
14HEUT4_4834	211	HE4	HE4	deepskyblue	TRUE	0.0504367427444351	2757	0.244831338411317	0.293861558554636
14HEUT4_4835	212	HE4	HE4	deepskyblue	TRUE	0.0225415610030995	2854	0.148563419761738	0.177480117203851
